2013-03-04 15:17:52.13 INFO in 'file_copier' at 	line 25: 2013-03-04 15:17:52.013087
2013-03-04 15:17:52.13 INFO in 'file_copier' at 	line 27: ---Start log---
2013-03-04 15:17:52.13 INFO in 'file_copier' at 	line 35: There are one argument received.
2013-03-04 15:17:52.13 INFO in 'file_copier' at 	line 37: And it is txt object.
2013-03-04 15:17:52.13 INFO in 'file_copier' at 	line 59: ---End log at 2013-03-04 15:17:52.013454---

2013-03-04 15:17:52.13 INFO in 'file_copier' at 	line 60: 
     **************************************************
2013-03-04 15:18:49.660 INFO in 'file_copier' at 	line 23: 


     **************************************************
2013-03-04 15:18:49.660 INFO in 'file_copier' at 	line 25: 2013-03-04 15:18:49.660277
2013-03-04 15:18:49.660 INFO in 'file_copier' at 	line 27: ---Start log---
2013-03-04 15:18:49.660 INFO in 'file_copier' at 	line 35: There are one argument received.
2013-03-04 15:18:49.660 INFO in 'file_copier' at 	line 37: And it is txt object.
2013-03-04 15:18:49.660 INFO in 'file_copier' at 	line 59: ---End log at 2013-03-04 15:18:49.660591---

2013-03-04 15:18:49.660 INFO in 'file_copier' at 	line 60: 
     **************************************************
2013-03-04 15:18:53.532 INFO in 'file_copier' at 	line 23: 


     **************************************************
2013-03-04 15:18:53.533 INFO in 'file_copier' at 	line 25: 2013-03-04 15:18:53.533029
2013-03-04 15:18:53.533 INFO in 'file_copier' at 	line 27: ---Start log---
2013-03-04 15:18:53.533 INFO in 'file_copier' at 	line 35: There are one argument received.
2013-03-04 15:18:53.533 INFO in 'file_copier' at 	line 37: And it is txt object.
2013-03-04 15:18:53.533 INFO in 'file_copier' at 	line 59: ---End log at 2013-03-04 15:18:53.533351---

2013-03-04 15:18:53.533 INFO in 'file_copier' at 	line 60: 
     **************************************************
2013-03-04 15:19:48.180 INFO in 'file_copier' at 	line 23: 


     **************************************************
2013-03-04 15:19:48.180 INFO in 'file_copier' at 	line 25: 2013-03-04 15:19:48.180257
2013-03-04 15:19:48.180 INFO in 'file_copier' at 	line 27: ---Start log---
2013-03-04 15:19:48.180 INFO in 'file_copier' at 	line 35: There are one argument received.
2013-03-04 15:19:48.180 INFO in 'file_copier' at 	line 37: And it is txt object.
2013-03-04 15:19:48.180 INFO in 'file_copier' at 	line 59: ---End log at 2013-03-04 15:19:48.180591---

2013-03-04 15:19:48.180 INFO in 'file_copier' at 	line 60: 
     **************************************************
2013-03-04 15:20:52.869 INFO in 'file_copier' at 	line 23: 


     **************************************************
2013-03-04 15:20:52.869 INFO in 'file_copier' at 	line 25: 2013-03-04 15:20:52.869343
2013-03-04 15:20:52.869 INFO in 'file_copier' at 	line 27: ---Start log---
2013-03-04 15:20:52.869 INFO in 'file_copier' at 	line 35: There are one argument received.
